year,STATE,MEDIAN_INCOME,MEAN_INCOME,POP,ONE_RACE_POP,WHITE,BLACK,ASIAN,FOREIGN_BORN_NON_US,POVERTY_PERCENT,UNEMPLOYMENT_RATE,SCHOOL_ENROLLMENT,Total!!Estimate!!Population 18 to 24 years!!Bachelor's degree or higher,Total!!Estimate!!Population 25 to 34 years!!Bachelor's degree or higher,Total!!Estimate!!Population 35 to 44 years!!Bachelor's degree or higher,Total!!Estimate!!Population 45 to 64 years!!Bachelor's degree or higher,Total!!Estimate!!Population 65 years and over!!Bachelor's degree or higher
2018,Montana,52559,70959,1041732,1012297,925642,4630,7947,10716,13.7,4.2,237746,8384,42229,43205,83819,53617
2018,Nebraska,59116,77278,1904760,1856160,1666463,90860,44105,83089,11.6,3.5,504889,22624,95637,85499,138829,69251
2018,Nevada,57598,77319,2922849,2782350,1935103,261123,234693,293257,13.7,6.9,695651,13482,97281,97709,178644,111714
2018,New Hampshire,74057,95876,1343622,1315732,1250014,20516,36124,36381,7.9,4,310284,17241,65378,64057,143941,74049
2018,New Jersey,79363,110140,8881845,8650896,6031747,1196764,832403,869722,10.4,6.1,2221322,124705,508127,515805,952454,407670
2018,New Mexico,48059,66565,2092434,2024926,1558886,43006,31513,123123,20,7.2,542173,11841,64976,64115,145622,103483
2018,New York,65323,97424,19618453,19019270,12514949,3068099,1630341,1937820,14.6,6,4769473,302481,1283025,1008078,1741198,855837
2018,North Carolina,52413,73753,10155624,9892323,6994240,2179622,282264,494357,15.4,6.3,2520207,97186,444959,459529,800770,393948
2018,North Dakota,63473,84043,752201,733895,655268,20445,10814,17548,10.9,2.8,183653,11429,40491,31498,49247,23160
2018,Ohio,54533,74109,11641879,11314790,9489832,1438271,249741,253618,14.5,5.8,2848490,110334,498688,460998,839762,406122
2018,Oklahoma,51424,70262,3918137,3615027,2837772,287959,83392,152992,16,5.3,1005467,28757,141468,131774,238109,136719
2018,Oregon,59393,80040,4081943,3888283,3445933,77789,174510,228412,14.1,6,955719,33950,199808,201249,330652,206108
2018,Pennsylvania,59445,81549,12791181,12480301,10341442,1423319,427892,410844,12.8,5.8,2971060,150995,647966,558902,1031703,506746
2018,Rhode Island,63296,85527,1056611,1023902,854502,69254,35663,64579,13.1,6.1,261044,14469,53890,45450,95713,48911
2018,South Carolina,51015,70093,4955925,4845717,3332986,1339360,75084,141515,16,6.4,1195464,42310,188229,182899,346727,209968
2018,South Dakota,56499,73768,864289,841200,730062,16241,12660,18953,13.6,3.5,216569,8522,37249,32771,58821,32636
2018,Tennessee,50972,71458,6651089,6508955,5166231,1117489,112915,208634,16.1,5.9,1574474,60610,278448,254339,448165,225099
2018,Texas,59570,84221,27885195,27154696,20720689,3365783,1308257,2998348,15.5,5.4,7626437,238495,1244870,1200387,1903916,870296
2018,Utah,68374,87053,3045350,2955471,2632056,35862,69810,157442,10.3,3.9,972456,23666,147700,148981,194594,101385
2018,Vermont,60076,78472,624977,612899,589546,8058,10579,13289,11.2,4.1,146071,8476,29452,29292,65597,39765
2018,Virginia,71564,98000,8413774,8104561,5722660,1613285,531503,502400,10.9,5,2136022,104593,478170,480911,845944,381838
2018,Washington,70116,93847,7294336,6877541,5545997,269854,607429,536793,11.5,5.3,1741942,74748,403185,373577,638645,347854
2018,West Virginia,44921,61225,1829054,1796915,1704345,66728,14534,14627,17.8,6.7,393995,13167,55295,51837,99196,55422
2018,Wisconsin,59209,77687,5778394,5642404,4945966,368744,159356,156733,11.9,4,1425678,62942,257639,241287,443582,217982
2018,Wyoming,62268,79257,581836,566257,532008,5540,4756,12581,11.1,4.5,145568,3706,21721,20843,39281,22832
2018,Puerto Rico,20166,32190,3386941,3211475,2283720,365010,6684,null,44.5,17,833433,27705,130087,132681,237234,99326
2019,Alabama,50536,69842,4876250,4784030,3320247,1299048,66270,105311,16.7,5.9,1175774,34600,170334,172600,324869,177969
2019,Alaska,77640,98606,737068,676403,476015,24205,45920,24613,10.7,7.2,183894,4600,31411,29976,55209,25423
2019,Arizona,58945,80779,7050299,6787262,5444453,317462,233213,530908,15.1,5.9,1765901,57034,273553,269445,495960,355568
2019,Arkansas,47597,66557,2999370,2918833,2301044,459542,45504,96291,17,5.1,733114,23102,101064,97972,164437,99763
2019,California,75235,106916,39283497,37360833,23453222,2274108,5692423,5096124,13.4,6.1,10423307,406471,2177289,1920683,3156874,1725880
2019,Colorado,72331,96970,5610349,5404625,4712574,233647,178147,311492,10.3,4.3,1395735,65968,365783,337146,568467,293738
2019,Connecticut,78444,113031,3575074,3456074,2714031,383416,161257,248326,9.9,6,898354,55686,193210,188520,396023,197712
2019,Delaware,68287,90092,957248,930169,658237,212302,37009,47674,11.8,5.5,228567,8231,42390,39284,82079,50385
2019,District of Columbia,86420,127890,692683,671238,285857,320811,27592,53099,16.2,6.9,168553,16794,117079,65066,70172,36942
2019,Florida,55660,80286,20901636,20329615,15702256,3359031,571276,1908023,14,5.6,4758186,168910,826066,830309,1618608,1196718
2019,Georgia,58700,82406,10403847,10137935,6098889,3289020,414481,594599,15.1,5.7,2749494,95103,469041,480173,844978,363424
2019,Hawaii,81275,103780,1422094,1082367,354847,26025,537355,108827,9.4,4.3,325063,10986,64678,66812,117707,78269
